train_no,train_name,type_code
12906-Slip,Howrah-Porbandar SF Express Slip,SF-TRAINS
12911,Valsad-Haridwar Exp,SF-TRAINS
12910,H.Nizamuddin-Bandra Terminus Garib Rath Express,GRB-TRAINS
12913,Indore-Nagpur Weekly Express,SF-TRAINS
12912,Haridwar Valsad Superfast Express,SF-TRAINS
12919,Malwa Express,SF-TRAINS
12914,Nagpur-Indore Weekly Express,SF-TRAINS
12921,Flying Rani Express,SF-TRAINS
12920,Malwa Express,SF-TRAINS
12923,Indore Nagpur Express,SF-TRAINS
12922,Flying Rani Express,SF-TRAINS
12925,Paschim Express,SF-TRAINS
12924,Indore Express,SF-TRAINS
12925-Slip,Paschim Express Slip,SF-TRAINS
12926,Paschim Express,SF-TRAINS
12927,Mumbai Central -Vadodara Express,SF-TRAINS
12928,Vadodara - Mumbai Central Express,SF-TRAINS
12929,Valsad Dahod InterCity Express,SF-TRAINS
12930,Dahod Valsad InterCity Express,SF-TRAINS
12935,Bandra Surat InterCity Express,SF-TRAINS
12936,Surat Bandra InterCity Express,SF-TRAINS
12937,GANDHIDHAM - HOWRAH Garbha Exp,SF-TRAINS
12938,HOWRAH - GANDHIDHAM Garbha Exp,SF-TRAINS
12939,Pune-Jaipur SF Express,SF-TRAINS
12940,Jaipur-Pune SF Express,SF-TRAINS
40025,Chennai Beach TambaramEMU (12 car),PASS-TRAINS
58115,CKP ROU SARANDA PASSENGER,PASS-TRAINS
12901,Gujarat Mail,SF-TRAINS
12902,Gujarat Mail,SF-TRAINS
12907,Maharashtra Sampark Kranti Express,EXP-TRAINS
12909,Bandra Terminus- Hazrat Nizamuddin Garib Rath,GRB-TRAINS
12915,Ashram SF Express,SF-TRAINS
12916,Ashram SF Express,SF-TRAINS
12917,Gujarat Sampark Kranti Express,EXP-TRAINS
12933,Karnavati Express,SF-TRAINS
12934,Karnavati Express,SF-TRAINS
12943,Valsad-Kanpur Udyogkarmi Express,SF-TRAINS
12944,Kanpur-Valsad Udyogkarmi Express,SF-TRAINS
12945,SURAT - MAHUVA SF Exp,SF-TRAINS
12947,Azimabad Express,SF-TRAINS
12948,Azimabad Express,SF-TRAINS
12949,PORBANDAR - K SANTRAGANCHI Kavi Guru SF Exp,SF-TRAINS
12951,Mumbai Central-New Delhi Rajdhani Express,RAJ-TRAINS
12955,Mumbai-Jaipur SF Express,SF-TRAINS
12956,Jaipur-Mumbai SF Express,SF-TRAINS
12959,MUMBAI DADAR - BHUJ SF Exp,SF-TRAINS
12960,BHUJ - MUMBAI DADAR SF Exp,SF-TRAINS
12961,Avantika Express,SF-TRAINS
12962,Avantika Express,SF-TRAINS
12965,Gwalior Udaipur Express,SF-TRAINS
12966,Udaipur Gwalior Express,SF-TRAINS
12967,Chennai-Jaipur SF Express,SF-TRAINS
12968,Jaipur-Chennai SF Express,SF-TRAINS
12969,Coimbatore-Jaipur Express,SF-TRAINS
12970,Jaipur-Coimbatore Express,SF-TRAINS
12971,Bhavnagar Express,SF-TRAINS
12973,Indore-Jaipur SF Express,SF-TRAINS
12974,Jaipur Indore SF Express,SF-TRAINS
12975,Mysore-Jaipur SF Express,SF-TRAINS
12976,Jaipur-Mysore SF Express,SF-TRAINS
12977,ERNAKULAM - AJMER Marusagar Exp,SF-TRAINS
12978,AJMER - ERNAKULAM Marusagar Exp,SF-TRAINS
12979,Mumbai Bandra (T.) - Jaipur (Tri-weekly) SF Exp,SF-TRAINS
12981,Chetak Express,SF-TRAINS
12982,Chetak Express,SF-TRAINS
12983,Ajmer-Chandigarh GaribRath Express,GRB-TRAINS
12984,Chandigarh-Ajmer GaribRath,GRB-TRAINS
12988,Ajmer Sealdah Express,SF-TRAINS
12989,Dadar Ajmer Superfast Express,SF-TRAINS
12990,Ajmer-Dadar SF Express,SF-TRAINS
12991,Udaipur-Ajmer Express,SF-TRAINS
12992,Ajmer Udaipur Express,SF-TRAINS
40027,Chennai Beach TambaramEMU (12 car),PASS-TRAINS
40033,Chennai Beach TambaramEMU (12 car),PASS-TRAINS
40055,Chennai Beach TambaramEMU,PASS-TRAINS
58610,Chakradharpur Tatanagar Passenger,PASS-TRAINS
12941,Ahmedabad-Asansol (Weekly) SF Parasnath Express,SF-TRAINS
12942,Asansol Ahmedabad (Weekly) SF Express,SF-TRAINS
12954,August Kranti Rajdhani Express,RAJ-TRAINS
12957,Ahmadabad-New Delhi Swarna Jayanti Rajdhani Expres,RAJ-TRAINS
12958,New Delhi-Ahmedabad Swarna Jayanti Rajdhani Expres,RAJ-TRAINS
12963,Mewar Express,SF-TRAINS
12964,Mewar Express,SF-TRAINS
12995,Bandra-Udaipur SF Express,SF-TRAINS
12996,Udaipur Bandra SF Express Slip,SF-TRAINS
12997,Tirunelveli - Hapa (Biweekly) SF Express,SF-TRAINS
12998,Hapa-Tirunelveli Express,SF-TRAINS
13005,Howrah-Amritsar Mail,EXP-TRAINS
13007,Udyan Abha Toofan Express,EXP-TRAINS
13008-Slip,Udyan Abha Toofan Express Slip,EXP-TRAINS
13009,Doon Express,EXP-TRAINS
13009-Slip,Doon Express Slip,EXP-TRAINS
13010,Doon Express,EXP-TRAINS
13011,InterCity Express,EXP-TRAINS
13012,InterCity Express,EXP-TRAINS
13015,Howrah Bolpur KaviGuru Express,EXP-TRAINS
13017,Ganadevta Express,EXP-TRAINS
13018,Ganadevta Express,EXP-TRAINS
13019,Bagh Express,EXP-TRAINS
13020,Bagh Express,EXP-TRAINS
13021,Mithila Express,EXP-TRAINS
13022,Mithila Express,EXP-TRAINS
13023,Howrah-Gaya Express,EXP-TRAINS
13025,Howrah-Bhopal Express,EXP-TRAINS
13026,Bhopal-Howrah Express,EXP-TRAINS
13027,Kaviguru Express,EXP-TRAINS
13028,Kaviguru Express,EXP-TRAINS
13039,Howrah-Rajgir Express Slip,EXP-TRAINS
13040,Janata Express,EXP-TRAINS
13049,Howrah-Amritsar Express,EXP-TRAINS
13050,Amritsar Howrah Express,EXP-TRAINS
13051,Hool Express,EXP-TRAINS
13052,Hool Express,EXP-TRAINS
13054,Siuri-Howrah Intercity Express,EXP-TRAINS
13072,Howrah Express,EXP-TRAINS
13104,Bhagirathi Express,EXP-TRAINS
13105,Sealdah-Ballia Express,EXP-TRAINS
13106,Ballia-Sealdah Express,EXP-TRAINS
13107,Maitree Express BR,EXP-TRAINS
13108,Maitree Express BR,EXP-TRAINS
13109,Maitree Express IR,EXP-TRAINS
13110,Maitree Express,EXP-TRAINS
13111,Lal Quila Express,EXP-TRAINS
13111-Slip,Lal Quila Express Slip,EXP-TRAINS
40035,Chennai Beach TambaramEMU (12 car),PASS-TRAINS
40059,Chennai Beach TambaramEMU,PASS-TRAINS
13008,Udyan Abha Toofan Express,EXP-TRAINS
13013,Barddhaman Rampurhat Tri-Weekly Express,EXP-TRAINS
13014,Rampurhat-Barddhaman Tri-Weekly Express,EXP-TRAINS
13016,Bolpur-Howrah Kavi Guru Express,EXP-TRAINS
13024,Gaya-Howrah Express,EXP-TRAINS
13112,Lal Quila Express,EXP-TRAINS
13113,Hazarduari Express,EXP-TRAINS
13114,Hazarduari Express,EXP-TRAINS
13117,Kolkata Berhampore Court Express,EXP-TRAINS
13118,Berhampore Court Kolkata Express,EXP-TRAINS
13133,Sealdah-Varanasi Express,EXP-TRAINS
13134,Varanasi- Sealdah Express,EXP-TRAINS
13141,Testa Torsa Express,EXP-TRAINS
13141-Slip,Testa Torsa Express Slip,EXP-TRAINS
13142,Teesta Torsa Express,EXP-TRAINS
13145,Radhikapur Express,EXP-TRAINS
13146,Radhikapur Express,EXP-TRAINS
13147,Uttar Banga Express,EXP-TRAINS
13148,Uttar Banga Express,EXP-TRAINS
13149,Kanchan Kanya Express,EXP-TRAINS
13150,Kanchan Kanya Express,EXP-TRAINS
13152,JammuTawi-Kolkata Chitpur Express,EXP-TRAINS
13153-Slip,Gour Express Slip,EXP-TRAINS
13154,Malda Town-Sealdah Gour Express,EXP-TRAINS
13156,SITAMARHI - KOLKATA CHITPUR Mithilanchal Exp,EXP-TRAINS
13159,KOLKATA CHITPUR - JOGBANI Exp,EXP-TRAINS
13160,JOGBANI - KOLKATA CHITPUR Exp,EXP-TRAINS
13161,KOLKATA CHITPUR - BALURGHAT Tebhaga Exp,EXP-TRAINS
13162,BALURGHAT - KOLKATA CHITPUR Tebhaga Exp,EXP-TRAINS
13163,Hatey Bazare Express,EXP-TRAINS
13164,Hatey Bazare Express,EXP-TRAINS
13185,Ganga Sagar Express,EXP-TRAINS
13186,Ganga Sagar Express,EXP-TRAINS
13188,Rampurhat- Sealdah Express,EXP-TRAINS
13202,MUMBAI LTT - RAJENDRA NAGAR PATNA Janta Exp,EXP-TRAINS
13225,Jaynagar-Danapur Intercity,EXP-TRAINS
13226,Danapur-Jaynagar Intercity,EXP-TRAINS
13233,Rajgriha Express,EXP-TRAINS
13234,Rajgriha Express,EXP-TRAINS
13237,Patna Mathura Express,EXP-TRAINS
13238,Mathura Patna Express,EXP-TRAINS
13239,Patna Mathura Express,EXP-TRAINS
13240,Mathura Patna Express,EXP-TRAINS
13241,Banka Patna Express,EXP-TRAINS
13242,Patna Banka Express,EXP-TRAINS
13243,Patna Dehri On Sone InterCity Express,EXP-TRAINS
13248,RAJENDRA NAGAR - GUWAHATI Capital Exp,EXP-TRAINS
19321,Indore-Rajendranagar Express,EXP-TRAINS
40037,Chennai Beach TambaramEMU (12 car),PASS-TRAINS
13235,Sahibganj-Danapur InterCity,EXP-TRAINS
13236,Danapur-Sahibganj InterCity,EXP-TRAINS
13244,Dehri On Sone Patna InterCity Express,EXP-TRAINS
13246,Capital Express,EXP-TRAINS
13247,GUWAHATI - RAJENDRA NAGAR Capital Exp,EXP-TRAINS
13251,Islampur Rajendra Nagar Express,EXP-TRAINS
13252,Rajendra Nagar Islampur Express,EXP-TRAINS
13287,DURG - RAJENDRA NAGAR South Bihar Exp,EXP-TRAINS
13288,RAJENDRA NAGAR BIHAR - DURG South Bihar Exp,EXP-TRAINS
13301,Suvarna Rekha Express,EXP-TRAINS
13302,Suvarna Rekha Express,EXP-TRAINS
13304,Dhanbad InterCity Express,EXP-TRAINS
13305,Dhanbad-Gaya InterCity,EXP-TRAINS
13306,Gaya-Dhanbad InterCity,EXP-TRAINS
13307,Ganga Sutlej Express,EXP-TRAINS
13308,Ganga Sutlej Express,EXP-TRAINS
13317,Black Diamond Express,EXP-TRAINS
13319,Baidyanthdham-Ranchi Express,EXP-TRAINS
13320,Ranchi-Baidyanathdham Express,EXP-TRAINS
13329,Ganga Damodar Express,EXP-TRAINS
13330,Ganga Damodar Express,EXP-TRAINS
13331,Dhanbad Patna Express,EXP-TRAINS
13332,Patna Dhanbad Express,EXP-TRAINS
13345,Varanasi-Singrauli Intercity,EXP-TRAINS
13347,Palamau Express,EXP-TRAINS
13348,Palamau Express,EXP-TRAINS
13352,ALAPPUZHA - DHANBAD (Bokaro) Express,EXP-TRAINS
13404,Vananchal Express,EXP-TRAINS
13413,Farakka Express,EXP-TRAINS
13414,Farakka Express,EXP-TRAINS
13415,Malda Patna Express,EXP-TRAINS
13416,Patna-Malda Express,EXP-TRAINS
13419,Jan Sewa Express,EXP-TRAINS
13421,Nabadwipdham Malda Express,EXP-TRAINS
13422,Malda Nabadwipdham Express,EXP-TRAINS
13465,InterCity Express,EXP-TRAINS
13466,InterCity Express,EXP-TRAINS
13483,Farakka Express,EXP-TRAINS
13484,Farakka Express,EXP-TRAINS
13501,Haldia-Asansol Express,EXP-TRAINS
40039,Chennai Beach TambaramEMU (12 car),PASS-TRAINS
40041,Chennai Beach TambaramEMU (12 car),PASS-TRAINS
40043,Chennai Beach TambaramEMU,PASS-TRAINS
40047,Chennai Beach TambaramEMU (12 car),PASS-TRAINS
40049,Chennai Beach TambaramEMU (12 car),PASS-TRAINS
40051,Chennai Beach TambaramEMU (12 car),PASS-TRAINS
40053,Chennai Beach TambaramEMU (12 car),PASS-TRAINS
56842,Erode Tiruchchirapalli Passenger,PASS-TRAINS
56860,Villupuram Tambaram Passenger,PASS-TRAINS
12259,Sealdah-New Delhi AC Duronto Express,PRM-TRAINS
13346,Singrauli-Varanasi Intercity,EXP-TRAINS
13502,Asansol Haldia Express,EXP-TRAINS
13504,Asansol-Sealdah InterCity Express,EXP-TRAINS
13506,Asansol Digha Express,EXP-TRAINS
13507,Asansol-Gorakhpur Express,EXP-TRAINS
13509,Asansol-Gonda Express,EXP-TRAINS
13510,Gonda-Asansol Express,EXP-TRAINS
14001,OLD DELHI - ATARI SHYAM SINGH Samjhauta Exp,EXP-TRAINS
14002,ATARI SHYAM SINGH - OLD DELHI Samjhauta Exp,EXP-TRAINS
14004,New Delhi-New Farakka Express,EXP-TRAINS
14005,Lichhavi Express,EXP-TRAINS
14006,Lichhavi Express,EXP-TRAINS
14007,Muzaffarpur-Old Delhi Sadbhavna Express,EXP-TRAINS
14008,Old Delhi-Muzaffarpur Sadbhavana Express,EXP-TRAINS
14009,Patalkot Express,EXP-TRAINS
14010,Patalkot Express,EXP-TRAINS
14011,Kathgodam-Anand Vihar AC Express,EXP-TRAINS
14012,Anand Vihar-Kathgodam AC Express,EXP-TRAINS
14013,Sadbhavna Express,EXP-TRAINS
14014,Sadbhavna Express,EXP-TRAINS
14015,Sadbhavna Express,EXP-TRAINS
14016,Sadbhavana Express,EXP-TRAINS
14017,Sadbhavna Express,EXP-TRAINS
14018,Sadbhavana Expres,EXP-TRAINS
14020,Delhi SR Chhindwara Kanhan Valley Express,EXP-TRAINS
14033,Jammu Mail,EXP-TRAINS
14034,Jammu Mail,EXP-TRAINS
14035,Dhauladhar Express,EXP-TRAINS
14036,Dhauladhar Express,EXP-TRAINS
14037,Delhi-Pathankot Express,EXP-TRAINS
14038,Pathankot Delhi Express,EXP-TRAINS
14041-Slip,Mussoorie Express Slip,EXP-TRAINS
14042,DEHRADUN - DELHI SARAI ROHILLA Mussoorie Exp,EXP-TRAINS
14043,KOTDWAR - OLD DELHI Garhwal Exp,EXP-TRAINS
14044,OLD DELHI - KOTDWAR Garhwal Exp,EXP-TRAINS
14056,OLD DELHI - DIBRUGARH Brahmaputra Exp,EXP-TRAINS
14083,Sikkim Mahananda Express,EXP-TRAINS
14084,Sikkim Mahananda Express,EXP-TRAINS
14085,Haryana Express,EXP-TRAINS
14086,Haryana Express,EXP-TRAINS
14095,Himalayan Queen,EXP-TRAINS
14096,Himalayan Queen,EXP-TRAINS
14096-Slip,Himalayan Queen Slip,EXP-TRAINS
14109,Chitrakoot Kanpur Express,EXP-TRAINS
14110,Kanpur Chitrakoot Express,EXP-TRAINS
14114,Link Express,EXP-TRAINS
40057,Chennai Beach TambaramEMU (12 car),PASS-TRAINS
51672,KATNI - ITARSI Fast Passenger,PASS-TRAINS
12343,Darjeeling Mail,SF-TRAINS
12483,KOCHUVELI - AMRITSAR SF Exp,SF-TRAINS
14119,Kathgodam Dehradun Express,EXP-TRAINS
14120,Dehradun Kathgodam Express,EXP-TRAINS
14123,Pratapgarh Kanpur InterCity Express,EXP-TRAINS
14124,Kanpur Pratapgarh InterCity Express,EXP-TRAINS
14126,Saryu Express,EXP-TRAINS
14163,Sangam Express,EXP-TRAINS
14163-Slip,Sangam Express Slip,EXP-TRAINS
14164,Sangam Express,EXP-TRAINS
14201,Jaunpur-Rae Bareliy Express,EXP-TRAINS
14203,Varanasi Lucknow InterCity Express,EXP-TRAINS
14204,Lucknow Varanasi InterCity Express,EXP-TRAINS
14205,Faizabad Delhi Express,EXP-TRAINS
14206,Delhi-Faizabad Express,EXP-TRAINS
14207,Padmavat Express,EXP-TRAINS
14208,Padmavat Express,EXP-TRAINS
14210,Lucknow-Vindhyachal InterCity,EXP-TRAINS
14211,Agra-New Delhi Intercity Express,EXP-TRAINS
14212,NewDelhi-Agra InterCity Express,EXP-TRAINS
14213,Varanasi-Gonda Intercity Express,EXP-TRAINS
14214,Gonda-Varanasi Intercity Express,EXP-TRAINS
14215,Ganga Gomti Express,EXP-TRAINS
14216,Ganga Gomti Express,EXP-TRAINS
14217,Unchahar Express,EXP-TRAINS
14227,Varuna Express,EXP-TRAINS
14228,Varuna Express,EXP-TRAINS
14235,Varanasi Bareilly Express,EXP-TRAINS
14236,Bareilly Varanasi Express,EXP-TRAINS
14257,Kashi Vishwanath Express,EXP-TRAINS
14258,Kashi Vishwanath Express,EXP-TRAINS
14259,MUGHAL SARAI - LUCKNOW Ekatmata Exp,EXP-TRAINS
14265,Varanasi Dehradun Janata Express,EXP-TRAINS
14265-Slip,Varanasi-Ramnagar Express Slip,EXP-TRAINS
14266,Dehradun Varanasi Janata Express,EXP-TRAINS
14307,Bareilly Express,EXP-TRAINS
14308,Bareilly-Prayag Passenger,PASS-TRAINS
14309,Ujjaini Express,EXP-TRAINS
14310,Ujjaini Express,EXP-TRAINS
14311,BAREILLY - BHUJ Ala Hazrat Exp,EXP-TRAINS
14314,BAREILLY - MUMBAI LTT Weekly Exp,EXP-TRAINS
14315,Bareilly-NewDelhi InterCity,EXP-TRAINS
14316,NewDelhi-Bareilly InterCity,EXP-TRAINS
14317,INDORE - DEHRADUN Exp,EXP-TRAINS
14318,DEHRADUN - INDORE Exp,EXP-TRAINS
14321,BAREILLY - BHUJ Ala Hazrat Exp,EXP-TRAINS
19131,MUMBAI BANDRA - BHUJ Kutch Exp,EXP-TRAINS
40107,Chennai Beach Tambaram EMU,PASS-TRAINS
40555,Chennai Beach Chengalpet Semi Fast EMU,PASS-TRAINS
14322,BHUJ - BAREILLY Ala Hazrat Exp,EXP-TRAINS
14323,New Delhi-Rohtak Express,EXP-TRAINS
14324,New Delhi Express,EXP-TRAINS
14369,Tribeni Express,EXP-TRAINS
14370,Triveni Express,EXP-TRAINS
14370-Slip,Triveni Express Slip,EXP-TRAINS
14511-Slip,Allahabad-Saharanpur Nauchandi Express Slip,EXP-TRAINS
14512,Saharanpur-Allahabad Nauchandi Express,EXP-TRAINS
14519,Kissan Express,EXP-TRAINS
14520,Kisan Express,EXP-TRAINS
14524,Harihar Express,EXP-TRAINS
14525,Ambala Cantt-Shri GangaNagar InterCity Express,EXP-TRAINS
14526,Shri Ganganagar-Ambala Cantt InterCity Express,EXP-TRAINS
14545,Farukhnagar Saharanpur Express,EXP-TRAINS
14546,Saharanpur Farukhnagar Express,EXP-TRAINS
14553,Himachal Express,EXP-TRAINS
14554,Himachal Express,EXP-TRAINS
14555,Bareilly-Delhi Express,EXP-TRAINS
14556,Delhi-Bareilly Express,EXP-TRAINS
14603,SAHARSA - AMRITSAR Jan Sadharan Exp,EXP-TRAINS
14607,Amritsar Atari Samjhauta Express,EXP-TRAINS
14608,Atari Amritsar Samjhauta Express,EXP-TRAINS
14609,Hemkunt Express,EXP-TRAINS
14610,Hemkunt Express,EXP-TRAINS
14629,Ludhiana Firozpur Sutlej Express,EXP-TRAINS
14630,Firozpur Ludhiana Sutlej Express,EXP-TRAINS
14631,Dehradun Amritsar Express,EXP-TRAINS
14632,Amritsar Dehradun Express,EXP-TRAINS
14633,Ravi Express,EXP-TRAINS
14634,Ravi Express,EXP-TRAINS
14645,Shalimar Express,EXP-TRAINS
14646,Shalimar Express,EXP-TRAINS
14650,Saryu Yamuna Express,EXP-TRAINS
14659-Slip,Delhi-Jaisalmer Express Slip,EXP-TRAINS
14660,Jaisalmer Delhi Express,EXP-TRAINS
14661,Delhi Barmer Link Express,EXP-TRAINS
14662,Barmer-Delhi MALANI Express,EXP-TRAINS
14673,Shaheed Express,EXP-TRAINS
14674,Shaheed Express,EXP-TRAINS
14681,New Delhi-Jalandhar Express,EXP-TRAINS
14682,Jalandhar NDLS Express,EXP-TRAINS
14701,Jaisalmer-Bikaner Express,EXP-TRAINS
14702,Bikaner-Jaisalmer Express,EXP-TRAINS
14703,Bikaner Express,EXP-TRAINS
14704,Jaisalmer Express,EXP-TRAINS
14705,Delhi Sarai Rohilla Sadulpur Express,EXP-TRAINS
14706,Sadulpur Delhi Sarai Rohilla Express,EXP-TRAINS
15011,LUCKNOW - CHANDIGARH Exp,EXP-TRAINS
15012,CHANDIGARH - LUCKNOW Exp,EXP-TRAINS
13103,Bhagirathi Express,EXP-TRAINS
13245,Capital Express,EXP-TRAINS
14708,MUMBAI BANDRA - BIKANER Ranakpur Exp,EXP-TRAINS
14711,Haridwar Shri Ganganagar InterCity Express,EXP-TRAINS
14712,Shriganganagar Haridwar Express,EXP-TRAINS
14723,Kalindi Express,EXP-TRAINS
14724,Kalindi Express,EXP-TRAINS
14731,Delhi Bhatinda Intercity Express,EXP-TRAINS
14732,Bhatinda Delhi Express,EXP-TRAINS
14795,Ekta Express,EXP-TRAINS
14796,Ekta Express,EXP-TRAINS
14801,Jodhpur Gandhidham Express,EXP-TRAINS
14802,Gandhidham Jodhpur Express,EXP-TRAINS
14809,Jaisalmer Jodhpur Express,EXP-TRAINS
14810,Jaisalmer Express,EXP-TRAINS
14853,Marudhar Express,EXP-TRAINS
14854,Marudhar Express,EXP-TRAINS
14863,Marudhar Express,EXP-TRAINS
14864,Marudhar Express,EXP-TRAINS
14865,Marudhar Express,EXP-TRAINS
14866,Marudhar Express,EXP-TRAINS
14887-Slip,Kalka - Sriganganar Express (Slip),EXP-TRAINS
14887S,KALKA BARMER Express Slip,EXP-TRAINS
14888,Barmer-Kalka Express,EXP-TRAINS
14889,Thar Link Express,EXP-TRAINS
14890,Thar Link Express,EXP-TRAINS
15001,Rapti Ganga Express,EXP-TRAINS
15002,Rapti Ganga Express,EXP-TRAINS
15004,Chauri Chaura Express,EXP-TRAINS
15005,Rapti Ganga Express,EXP-TRAINS
15006,Rapti Ganga Express,EXP-TRAINS
15007,Krishak Express,EXP-TRAINS
15009,Chitrakoot Express,EXP-TRAINS
15010,Chitrakoot Express,EXP-TRAINS
15013,Ranikhet Express,EXP-TRAINS
15013-Slip,Ranikhet Express Slip,EXP-TRAINS
15014,Ranikhet Express,EXP-TRAINS
15016,YESVANTPUR - GORAKHPUR Exp,EXP-TRAINS
15018,GORAKHPUR - MUMBAI LTT Kashi Exp,EXP-TRAINS
15018-Slip,Gorakhpur -Kolhapur Slip,EXP-TRAINS
15019,Gorakhpur Nautanwa Express,EXP-TRAINS
15020,Gorakhpur Nautanwa Express,EXP-TRAINS
15021,Kolkata Shalimar-Gorakhpur Bhojpuri Express,EXP-TRAINS
15022,Bhojpuri Express,EXP-TRAINS
15023,GORAKHPUR - YESVANTPUR Exp,EXP-TRAINS
15035,Uttarakhand Sampark Kranti Express,EXP-TRAINS
15035-Slip,Uttarakhand Sampark Kranti Express Slip,EXP-TRAINS
15236,Darbhanga-Howrah Express,EXP-TRAINS
41057,Chennai Beach Velachery EMU,PASS-TRAINS
41501,Chennai Beach Velachery EMU,PASS-TRAINS
14649,Saryu Yamuna Express,EXP-TRAINS
15003,Chauri Chaura Express,EXP-TRAINS
15008,Krishak Express,EXP-TRAINS
15027,Maurya Express,EXP-TRAINS
15028,Maurya Express,EXP-TRAINS
15037,Kanpur Kasganj Express,EXP-TRAINS
15038,Kasganj Kanpur Express,EXP-TRAINS
15039,Farrukhabad Kasganj Express,EXP-TRAINS
15040,Farrukhabad Express,EXP-TRAINS
15041,Farrukhabad Kasganj Express,EXP-TRAINS
15042,Farrukhabad Express,EXP-TRAINS
15045,Gorakhpur-Okha Express,EXP-TRAINS
15046,Okha-Gorakhpur Express,EXP-TRAINS
15047,Purvanchal Express,EXP-TRAINS
15048,Purvanchal Express,EXP-TRAINS
15049,Poorvanchal Express,EXP-TRAINS
15050,Poorvanchal Express,EXP-TRAINS
15051,Poorvanchal Express,EXP-TRAINS
15052,Gorakhpur Kolkata Express,EXP-TRAINS
15097,Barauni-Jammu Amarnath Express,EXP-TRAINS
15098,Jammu-Barauni Amarnath Express,EXP-TRAINS
15101,Chhapra-Mumbai Jansadharan Express,EXP-TRAINS
15102,Mumbai CST Chhapra Jansadharan Express,EXP-TRAINS
15103,Gorakhpur Manduadih Intercity Express,EXP-TRAINS
15104,Manduadih Gorakhpur InterCity,EXP-TRAINS
15105,Chhapra Gorakhpur InterCity Express,EXP-TRAINS
15106,Gorakhpur Chhapra InterCity Express,EXP-TRAINS
15107,Chhapra Mathura Express,EXP-TRAINS
15108,Mathura Chhapra Express,EXP-TRAINS
15109,Budhpurnima Express,EXP-TRAINS
15110,Budhpurnima Express,EXP-TRAINS
15159,Sarnath Express,EXP-TRAINS
15160,Sarnath Express,EXP-TRAINS
15201,Hajipur Raxaul InterCity,EXP-TRAINS
15203,Barauni-Lucknow Express,EXP-TRAINS
15209,SAHARSA - AMRITSAR Jan Seva Exp,EXP-TRAINS
15210,AMRITSAR - SAHARSA Jan Seva Exp,EXP-TRAINS
15211,DARBHANGA - AMRITSAR Jan Nayak Exp,EXP-TRAINS
15215,Muzaffarpur-Narkatiaganj Express,EXP-TRAINS
15216,Narkatiaganj-Muzaffarpur Express,EXP-TRAINS
15228,MUZAFFARPUR - YESVANTPUR Weekly Exp,EXP-TRAINS
15267,RAXAUL - MUMBAI LTT Jan Sadharan Exp,EXP-TRAINS
15273,Satyagraha Express,EXP-TRAINS
15274,Satyagraha Express,EXP-TRAINS
15283,Janaki Express,EXP-TRAINS
15284,Janaki Express,EXP-TRAINS
15320,AISHBAGH - PALIA KALAN EXP,EXP-TRAINS
15322,Kapilavastu Express,EXP-TRAINS
15902,DIBRUGARH - BENGALURU CITY Weekly Exp,EXP-TRAINS
15204,Lucknow-Barauni Express,EXP-TRAINS
15269,MUZAFFARPUR - AHMEDABAD Jan Sadharan Exp,EXP-TRAINS
15272,Muzzafarpur-Howrah JanSadharan Express,EXP-TRAINS
15275,Saharsa-Barauni Express,EXP-TRAINS
15276,Barauni-Saharsa Express,EXP-TRAINS
15279,Poorbiya Express,EXP-TRAINS
15280,Poorabiya Express,EXP-TRAINS
15281,Kosi Express,EXP-TRAINS
15282,Kosi Express,EXP-TRAINS
15307,Nainital Express,EXP-TRAINS
15308,Nainital Express,EXP-TRAINS
15308-Slip,Nainital Express Slip,EXP-TRAINS
15309,Rohilkhand Express,EXP-TRAINS
15310,Rohilkhand Express,EXP-TRAINS
15311,KUMAON EXPRESS,EXP-TRAINS
15312,Kumaun Express,EXP-TRAINS
15313,Aishbagh Bareilly Express,EXP-TRAINS
15314,Aishbagh Express,EXP-TRAINS
15315,Gonda-Kasganj Gokul Express,EXP-TRAINS
15316,Kasganj-Gonda Gokul Express,EXP-TRAINS
15319,PALIA KALAN - AISHBAGH  Exp,EXP-TRAINS
15321,Kapilavastu Express,EXP-TRAINS
15603,Guwahati Ledo Intercity Express,EXP-TRAINS
15604,Ledo Guwahati Intercity Express,EXP-TRAINS
15606,Guwahati InterCity Express,EXP-TRAINS
15609,Awadh Assam Express,EXP-TRAINS
15609-Slip,Jivachh Link Express,EXP-TRAINS
15610,Awadh Assam Express,EXP-TRAINS
15611,Lokmanya Tilak (T)-Kamakhya Karmabhoomi Express,EXP-TRAINS
15612,Kamakhya-Mumbai LTT Karmabhoomi Express,EXP-TRAINS
15620,KAMAKHYA - GAYA Weekly Exp,EXP-TRAINS
15629,CHENNAI EGMORE - GUWAHATI Exp,EXP-TRAINS
15630,GUWAHATI - CHENNAI EGMORE Exp,EXP-TRAINS
15631,BARMER - GUWAHATI Exp,EXP-TRAINS
15632,GUWAHATI - BARMER Exp,EXP-TRAINS
15635,OKHA - GUWAHATI EXP,EXP-TRAINS
15636,GUWAHATI - OKHA DWARKA EXP,EXP-TRAINS
15639,PURI - GUWAHATI Exp,EXP-TRAINS
15643,PURI - KAMAKHYA Weekly Express,EXP-TRAINS
15644,KAMAKHYA - PURI Weekly Spl,EXP-TRAINS
15669,Nagaland Express,EXP-TRAINS
15670,Nagaland Express,EXP-TRAINS
15691,Cachar Express,EXP-TRAINS
15714,InterCity Express,EXP-TRAINS
